file_name,label,size_bytes,duration_sec,sample_rate_Hz,channels,bit_depth
Major_500.wav,Major,194084,2.2,44100,1,16
Major_266.wav,Major,198494,2.25,44100,1,16
Major_272.wav,Major,198494,2.25,44100,1,16
Major_299.wav,Major,198494,2.25,44100,1,16
Major_474.wav,Major,198494,2.25,44100,1,16
Major_312.wav,Major,198494,2.25,44100,1,16
Major_306.wav,Major,198494,2.25,44100,1,16
Major_460.wav,Major,198494,2.25,44100,1,16
Major_448.wav,Major,194084,2.2,44100,1,16
Major_28.wav,Major,194084,2.2,44100,1,16
Major_14.wav,Major,198494,2.25,44100,1,16
Major_110.wav,Major,194084,2.2,44100,1,16
Major_104.wav,Major,194084,2.2,44100,1,16
Major_138.wav,Major,202902,2.3,44100,1,16
Major_139.wav,Major,202902,2.3,44100,1,16
Major_105.wav,Major,194084,2.2,44100,1,16
Major_111.wav,Major,194084,2.2,44100,1,16
Major_15.wav,Major,198494,2.25,44100,1,16
Major_29.wav,Major,194084,2.2,44100,1,16
Major_449.wav,Major,194084,2.2,44100,1,16
Major_307.wav,Major,198494,2.25,44100,1,16
Major_461.wav,Major,198494,2.25,44100,1,16
Major_475.wav,Major,198494,2.25,44100,1,16
Major_313.wav,Major,198494,2.25,44100,1,16
Major_298.wav,Major,198494,2.25,44100,1,16
Major_273.wav,Major,198494,2.25,44100,1,16
Major_501.wav,Major,194084,2.2,44100,1,16
Major_267.wav,Major,198494,2.25,44100,1,16
Major_271.wav,Major,198494,2.25,44100,1,16
Major_265.wav,Major,194084,2.2,44100,1,16
Major_259.wav,Major,198494,2.25,44100,1,16
Major_463.wav,Major,198494,2.25,44100,1,16
Major_305.wav,Major,194084,2.2,44100,1,16
Major_311.wav,Major,198494,2.25,44100,1,16
Major_477.wav,Major,198494,2.25,44100,1,16
Major_339.wav,Major,202902,2.3,44100,1,16
Major_17.wav,Major,198494,2.25,44100,1,16
Major_488.wav,Major,198494,2.25,44100,1,16
Major_107.wav,Major,194084,2.2,44100,1,16
Major_113.wav,Major,202902,2.3,44100,1,16
Major_112.wav,Major,202902,2.3,44100,1,16
Major_106.wav,Major,194084,2.2,44100,1,16
Major_16.wav,Major,198494,2.25,44100,1,16
Major_489.wav,Major,198494,2.25,44100,1,16
Major_338.wav,Major,202902,2.3,44100,1,16
Major_310.wav,Major,198494,2.25,44100,1,16
Major_476.wav,Major,198494,2.25,44100,1,16
